-25            -0.8402        
-24            -0.816         
-23            -0.7938        
-22            -0.7904        
-21            -0.7664        
-20            -0.735         
-19            -0.7272        
-18            -0.7182        
-17            -0.6906        
-16            -0.6676        
-15            -0.6226        
-14            -0.6094        
-13            -0.5564        
-12            -0.5322        
-11            -0.5068        
-10            -0.4742        
-9             -0.4132        
-8             -0.3682        
-7             -0.334         
-6             -0.2918        
-5             -0.258         
-4             -0.2154        
-3             -0.1578        
-2             -0.087         
-1             -0.0374        
0              -0.0176        
1              0.0332         
2              0.1098         
3              0.1488         
4              0.2126         
5              0.2514         
6              0.291          
7              0.319          
8              0.3664         
9              0.4196         
10             0.4534         
11             0.494          
12             0.5338         
13             0.5748         
14             0.6            
15             0.6392         
16             0.6608         
17             0.6904         
18             0.6944         
19             0.7256         
20             0.753          
21             0.7754         
22             0.7978         
23             0.8174         
24             0.8248         
